,date,co2
235,1985-12-31,79876.91
236,1986-12-31,80843.758
237,1987-12-31,82788.038
238,1988-12-31,85631.226
239,1989-12-31,86621.769
240,1990-12-31,88194.826
241,1991-12-31,88759.479
242,1992-12-31,86107.541
243,1993-12-31,86353.216
244,1994-12-31,86236.265
245,1995-12-31,87648.415
246,1996-12-31,89953.578
247,1997-12-31,90055.545
248,1998-12-31,89566.133
249,1999-12-31,90524.433
250,2000-12-31,92998.026
251,2001-12-31,93999.371
252,2002-12-31,95821.331
253,2003-12-31,100340.414
254,2004-12-31,104330.579
255,2005-12-31,107354.795
256,2006-12-31,110616.399
257,2007-12-31,113346.855
258,2008-12-31,115021.013
259,2009-12-31,112661.081
260,2010-12-31,118593.92
261,2011-12-31,122025.592
262,2012-12-31,123738.518
263,2013-12-31,124342.031
264,2014-12-31,124746.837
265,2015-12-31,124780.495
266,2016-12-31,124705.642
267,2017-12-31,126304.716
268,2018-12-31,128452.538
269,2019-12-31,128422.887
270,2020-12-31,121592.746
